*EVAPOTRANSPIRATION / PHOTOSYNTHESIS DAILY OUTPUT FILE

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
@YEAR DOY   DAS    LI%D   PHAD   PHAN    LI%N   SLLN   SLHN   N%LN   N%HN   LMLN   LMHN   TGON   TGAV
 2020 253    99    3.25   0.00    0.00   3.25   4.54   4.53   5.64   5.64   0.00   0.00   4.64   3.40
 2020 254   100    3.27   0.08    0.00   3.27   4.54   4.53   5.64   5.64   0.13   0.13  11.58   8.67
 2020 255   101    2.99   0.39    0.02   2.48   4.57   4.56   5.74   5.73   0.64   0.64  19.89  15.24
 2020 256   102    3.10   0.47    0.02   2.48   4.58   4.57   5.67   5.66   0.86   0.86  25.39  18.37
 2020 257   103    3.26   0.38    0.02   2.60   4.57   4.57   5.59   5.59   0.63   0.63  25.24  17.05
 2020 258   104    3.47   0.48    0.02   2.96   4.59   4.59   5.52   5.51   0.75   0.75  24.12  17.25
 2020 259   105    3.66   0.54    0.03   3.05   4.59   4.59   5.44   5.44   0.83   0.83  24.98  18.03
 2020 260   106    3.88   0.50    0.03   3.28   4.60   4.59   5.38   5.37   0.72   0.72  24.34  17.16
 2020 261   107    4.12   0.57    0.03   3.51   4.62   4.61   5.31   5.30   0.76   0.76  23.78  17.12
 2020 262   108    4.39   0.65    0.03   3.87   4.64   4.64   5.25   5.24   0.85   0.85  24.58  17.96
 2020 263   109    4.64   0.73    0.04   4.02   4.65   4.64   5.18   5.18   0.91   0.90  25.08  18.50
 2020 264   110    4.85   0.99    0.05   4.10   4.67   4.66   5.13   5.12   1.26   1.25  27.65  22.10
 2020 265   111    5.19   0.87    0.05   4.37   4.64   4.63   5.06   5.06   1.00   1.00  26.00  19.54
 2020 266   112    5.53   0.89    0.05   4.57   4.68   4.67   5.01   5.00   0.93   0.92  25.54  18.81
 2020 267   113    5.88   1.13    0.06   4.99   4.75   4.74   4.96   4.95   1.15   1.15  26.42  20.72
 2020 268   114    6.23   1.14    0.06   5.12   4.79   4.77   4.91   4.90   1.17   1.17  30.47  22.02
 2020 269   115    6.61   1.25    0.07   5.38   4.86   4.85   4.86   4.85   1.23   1.23  32.25  23.00
 2020 270   116    6.97   1.30    0.07   5.98   4.92   4.91   4.83   4.82   1.23   1.23  30.13  22.13
 2020 271   117    7.35   1.15    0.06   6.41   4.99   4.98   4.79   4.78   0.84   0.83  20.09  16.86
 2020 272   118    7.61   0.38    0.02   6.09   5.11   5.09   4.75   4.74   0.25   0.25  17.18  11.37
 2020 273   119    7.76   0.55    0.03   6.23   5.16   5.14   4.91   4.90   0.38   0.38  24.42  15.36
 2020 274   120    7.94   0.87    0.05   6.48   5.22   5.20   5.03   5.02   0.63   0.63  22.61  15.55
 2020 275   121    8.15   0.35    0.02   6.61   5.32   5.31   5.08   5.07   0.22   0.22  17.26  11.11
 2020 276   122    8.29   0.46    0.02   6.79   5.36   5.34   5.24   5.22   0.30   0.30  22.44  13.96
 2020 277   123    8.38   0.55    0.03   7.15   5.40   5.39   5.36   5.35   0.36   0.36  18.75  12.48
 2020 278   124    8.48   0.32    0.02   6.80   5.46   5.45   5.46   5.45   0.20   0.20  22.64  13.70
 2020 279   125    8.54   1.46    0.08   6.98   5.49   5.47   5.61   5.59   1.13   1.12  25.83  19.01
 2020 280   126    8.68   1.18    0.07   7.04   5.64   5.62   5.53   5.52   0.87   0.87  25.65  17.59
 2020 281   127    8.78   1.05    0.06   7.05   5.76   5.74   5.54   5.53   0.76   0.75  27.68  18.04
 2020 282   128    8.87   1.32    0.08   7.11   5.87   5.85   5.57   5.56   1.03   1.02  28.80  19.45
 2020 283   129    8.93   1.49    0.08   7.23   6.00   5.98   5.57   5.56   1.20   1.20  28.24  19.77
 2020 284   130    9.00   1.40    0.08   7.29   6.15   6.13   5.56   5.55   1.08   1.08  26.01  18.27
 2020 285   131    9.11   1.92    0.10   7.14   6.29   6.27   5.56   5.55   1.64   1.63  29.56  21.97
 2020 286   132    9.15   0.00    0.00   7.16   6.48   6.47   5.51   5.50   0.00   0.00  19.40  11.03
 2020 287   133    9.15   0.35    0.02   7.24   6.48   6.47   5.51   5.50   0.21   0.21  20.07  12.22
 2020 288   134    9.16   1.35    0.08   7.40   6.49   6.47   5.56   5.55   1.07   1.07  26.72  18.30
 2020 289   135    9.47   0.24    0.01   9.47   6.63   6.61   5.58   5.56   0.16   0.16  10.44   8.56
 2020 290   136    9.48   0.24    0.01   9.48   6.64   6.62   5.62   5.60   0.16   0.16  10.44   8.56
