*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2020 201    47    0.02    0.00    0.17     344    0.00    27.4   0.000   0.027   0.000   0.196     0.2     0.0     1.9    4921     0.0     304    0.00    0.30    0.00    2.25     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     61.    108.     40.     25.     24.     22.      7.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.9     0.4     0.2     0.2     0.2     0.1     0.0     0.0
 2020 202    48    0.02    0.00    0.17     349    0.00    27.7   0.000   0.028   0.000   0.198     0.3     0.0     2.9    5000     0.0     295    0.00    0.30    0.00    2.09     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     61.    104.     38.     25.     24.     21.      7.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 203    49    0.02    0.00    0.17     355    0.00    28.0   0.000   0.028   0.000   0.200     0.4     0.0     3.4    5062     0.0     306    0.00    0.31    0.00    2.11     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     63.    107.     38.     26.     27.     22.      7.      8.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.5     0.8     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 204    50    0.02    0.00    0.18     359    0.00    28.3   0.000   0.028   0.000   0.202     0.4     0.0     3.2    4625     0.0     290    0.00    0.29    0.00    2.00     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     54.    105.     37.     25.     26.     21.      7.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.3     0.2     0.2     0.2     0.0     0.0     0.0
 2020 205    51    0.02    0.00    0.18     363    0.00    28.6   0.000   0.029   0.000   0.204     0.4     0.0     3.1    4337     0.0     277    0.00    0.28    0.00    1.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     48.    101.     36.     25.     25.     21.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.7     0.2     0.2     0.2     0.2     0.0     0.0     0.0
 2020 206    52    0.02    0.00    0.18     368    0.00    28.9   0.000   0.029   0.000   0.206     0.4     0.0     2.9    4077     0.0     267    0.00    0.27    0.00    1.83     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     43.     98.     35.     24.     24.     21.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.7     0.2     0.2     0.2     0.1     0.0     0.0     0.0
 2020 207    53    0.03    0.00    0.19     372    0.00    29.2   0.000   0.029   0.000   0.208     0.4     0.0     2.8    4049     0.0     280    0.00    0.28    0.00    1.92     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     42.    103.     37.     26.     26.     22.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 208    54    0.03    0.00    0.19     376    0.00    29.4   0.000   0.029   0.000   0.210     0.3     0.0     2.7    4044     0.0     286    0.00    0.29    0.00    1.97     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     41.    105.     39.     27.     27.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.8     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 209    55    0.03    0.00    0.19     380    0.00    29.8   0.000   0.030   0.000   0.211     0.2     0.0     1.3    4247     0.0     316    0.00    0.32    0.00    0.97     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     65.    101.     36.     29.     28.     32.      8.      8.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.2     0.1     0.1     0.1     0.2     0.1     0.0     0.0
 2020 210    56    0.03    0.00    0.19     384    0.00    30.1   0.000   0.030   0.000   0.212     0.2     0.0     1.6    4201     0.0     305    0.00    0.30    0.00    1.32     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     63.    100.     38.     26.     26.     27.      9.      8.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.1     0.1     0.1     0.2     0.1     0.0     0.0
 2020 211    57    0.03    0.00    0.19     388    0.00    30.3   0.000   0.030   0.000   0.214     0.3     0.0     2.2    4141     0.0     268    0.00    0.27    0.00    1.66     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     54.     87.     33.     24.     23.     23.      8.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.6     0.2     0.1     0.1     0.2     0.1     0.0     0.0
 2020 212    58    0.03    0.00    0.20     392    0.00    30.6   0.000   0.031   0.000   0.215     0.2     0.0     1.4    3785     0.0     257    0.00    0.26    0.00    1.42     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     50.     84.     33.     23.     23.     21.      8.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.6     0.2     0.1     0.1     0.2     0.1     0.0     0.0
 2020 213    59    0.03    0.00    0.20     396    0.02    30.8   0.001   0.031   0.016   0.226     0.4     1.0     2.9    3588    17.4     230    1.44    0.23   15.97   10.89     3.8     2.5     2.4     3.2     3.7     1.9     0.0     0.0     0.0     45.     75.     29.     21.     21.     19.      7.      7.      7.     0.5     0.3     0.2     0.3     0.3     0.1     0.0     0.0     0.0     3.3     2.3     2.2     3.0     3.4     1.8     0.0     0.0     0.0     3.2     1.9     1.3     1.6     1.9     1.0     0.0     0.0     0.0
 2020 214    60    0.03    0.00    0.20     399    0.02    31.0   0.002   0.031   0.019   0.229     0.5     1.1     3.3    3418     3.4     213    0.23    0.21    3.17    3.01     0.0     0.0     0.5     1.0     1.3     0.6     0.0     0.0     0.0     41.     69.     27.     19.     19.     18.      6.      6.      7.     0.0     0.1     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.4     1.0     1.2     0.6     0.0     0.0     0.0     0.3     0.5     0.4     0.6     0.7     0.4     0.0     0.0     0.0
 2020 215    61    0.03    0.00    0.20     402    0.02    31.3   0.002   0.031   0.020   0.231     0.5     1.1     3.0    3280     0.9     225    0.06    0.23    0.82    1.93     0.0     0.0     0.0     0.2     0.4     0.3     0.0     0.0     0.0     40.     76.     29.     21.     21.     19.      7.      7.      7.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.3     0.3     0.0     0.0     0.0     0.3     0.5     0.2     0.2     0.3     0.3     0.0     0.0     0.0
 2020 216    62    0.03    0.00    0.21     405    0.02    31.5   0.002   0.031   0.020   0.233     0.4     1.1     2.8    3111     0.2     224    0.01    0.22    0.15    1.60     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     35.     74.     30.     22.     22.     20.      6.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.0     0.3     0.5     0.2     0.2     0.2     0.2     0.0     0.0     0.0
 2020 217    63    0.03    0.00    0.21     409    0.02    31.7   0.002   0.032   0.020   0.234     0.2     0.6     1.6    3166     0.0     220    0.00    0.22    0.00    1.31     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     42.     72.     28.     20.     20.     17.      6.      7.      7.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.5     0.2     0.1     0.1     0.1     0.0     0.0     0.0
 2020 218    64    0.03    0.01    0.21     412    0.02    31.9   0.002   0.032   0.020   0.235     0.3     0.8     1.9    3230     0.0     230    0.00    0.23    0.00    1.43     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     45.     75.     29.     21.     21.     18.      6.      7.      7.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.5     0.2     0.1     0.1     0.1     0.0     0.0     0.0
 2020 219    65    0.03    0.01    0.21     415    0.02    32.2   0.002   0.032   0.020   0.237     0.4     1.2     2.8    3270     0.0     231    0.00    0.23    0.00    1.57     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     45.     75.     30.     21.     21.     19.      6.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.2     0.1     0.1     0.1     0.0     0.0     0.0
 2020 220    66    0.03    0.01    0.22     418    0.02    32.4   0.002   0.032   0.020   0.238     0.2     0.7     1.5    2933     0.0     221    0.00    0.22    0.00    1.15     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     41.     72.     29.     21.     21.     18.      6.      7.      7.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.4     0.2     0.1     0.1     0.1     0.0     0.0     0.0
 2020 221    67    0.03    0.01    0.22     421    0.03    32.6   0.002   0.033   0.026   0.244     0.5     2.0     3.3    3179     6.7     237    0.70    0.24    6.01    6.35     3.3     3.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     46.     75.     30.     22.     22.     19.      7.      7.      8.     0.4     0.4     0.0     0.0     0.0     0.0     0.0     0.0     0.0     2.9     3.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     3.1     2.5     0.2     0.2     0.2     0.1     0.0     0.0     0.0
 2020 222    68    0.03    0.01    0.22     425    0.03    32.9   0.002   0.033   0.026   0.246     0.6     2.2     3.6    3420     0.3     262    0.03    0.26    0.32    2.00     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     51.     84.     34.     25.     24.     22.      7.      7.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 223    69    0.03    0.01    0.23     428    0.03    33.2   0.002   0.033   0.026   0.248     0.5     2.0     3.3    3381     0.0     275    0.00    0.28    0.00    1.89     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     48.     91.     37.     27.     26.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 224    70    0.03    0.02    0.23     431    0.03    33.4   0.002   0.033   0.026   0.250     0.5     1.8     3.1    3352     0.0     277    0.00    0.28    0.00    1.90     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     45.     92.     38.     27.     27.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 225    71    0.03    0.02    0.23     435    0.03    33.7   0.002   0.034   0.026   0.252     0.5     1.6     2.9    3326     0.0     280    0.00    0.28    0.00    1.91     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     43.     93.     39.     28.     27.     24.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.7     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 226    72    0.03    0.02    0.23     438    0.03    34.0   0.002   0.034   0.026   0.254     0.4     1.4     2.7    3228     0.0     263    0.00    0.26    0.00    1.80     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     38.     87.     37.     27.     26.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.6     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 227    73    0.03    0.02    0.24     441    0.03    34.2   0.002   0.034   0.026   0.256     0.4     1.2     2.6    3051     0.0     249    0.00    0.25    0.00    1.69     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     34.     81.     36.     26.     26.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.6     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 228    74    0.03    0.02    0.24     444    0.03    34.5   0.002   0.034   0.026   0.257     0.4     1.0     2.4    2905     0.0     234    0.00    0.23    0.00    1.59     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     30.     75.     34.     25.     25.     22.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 229    75    0.03    0.02    0.24     447    0.03    34.7   0.002   0.035   0.026   0.259     0.4     0.9     2.3    2794     0.0     225    0.00    0.23    0.00    1.53     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     26.     72.     33.     24.     24.     22.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 230    76    0.03    0.02    0.24     450    0.03    34.9   0.002   0.035   0.026   0.260     0.3     0.7     2.1    3224     0.0     252    0.00    0.25    0.00    1.72     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     52.     74.     33.     24.     24.     22.      7.      8.      8.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 231    77    0.03    0.02    0.24     453    0.03    35.2   0.002   0.035   0.026   0.262     0.2     0.4     1.2    3117     0.0     255    0.00    0.26    0.00    1.45     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     49.     77.     35.     25.     25.     22.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 232    78    0.03    0.02    0.25     456    0.03    35.5   0.002   0.035   0.026   0.264     0.3     0.5     1.9    3210     0.0     258    0.00    0.26    0.00    1.73     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     51.     76.     35.     25.     25.     23.      8.      8.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 233    79    0.03    0.02    0.25     459    0.03    35.7   0.002   0.036   0.026   0.265     0.3     0.5     2.2    3127     0.0     252    0.00    0.25    0.00    1.72     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     49.     75.     34.     25.     25.     22.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 234    80    0.04    0.02    0.25     462    0.03    36.0   0.002   0.036   0.026   0.267     0.3     0.5     2.1    3043     0.0     248    0.00    0.25    0.00    1.69     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     44.     74.     34.     25.     25.     22.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 235    81    0.04    0.02    0.25     465    0.03    36.2   0.002   0.036   0.026   0.269     0.3     0.4     2.0    2995     0.0     242    0.00    0.24    0.00    1.65     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     40.     73.     34.     25.     25.     22.      7.      8.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 236    82    0.04    0.02    0.25     468    0.03    36.4   0.002   0.036   0.026   0.270     0.2     0.2     1.1    2961     0.0     247    0.00    0.25    0.00    1.43     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     45.     73.     35.     25.     25.     22.      7.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 237    83    0.04    0.02    0.26     471    0.03    36.7   0.002   0.037   0.026   0.272     0.3     0.3     1.8    3063     0.0     255    0.00    0.25    0.00    1.71     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     48.     73.     35.     25.     25.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 238    84    0.04    0.03    0.26     474    0.03    37.0   0.002   0.037   0.026   0.273     0.2     0.2     1.1    3030     0.0     261    0.00    0.26    0.00    1.44     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     47.     77.     36.     26.     26.     24.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.4     0.2     0.2     0.2     0.2     0.1     0.0     0.0
 2020 239    85    0.04    0.03    0.26     478    0.03    37.2   0.002   0.037   0.026   0.275     0.3     0.2     1.8    3119     0.0     267    0.00    0.27    0.00    1.77     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     50.     77.     37.     27.     27.     24.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 240    86    0.04    0.03    0.26     481    0.03    37.5   0.002   0.038   0.026   0.277     0.3     0.2     2.1    3199     0.0     273    0.00    0.27    0.00    1.86     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     51.     79.     38.     28.     27.     25.      8.      8.      9.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.6     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 241    87    0.04    0.03    0.26     484    0.03    37.8   0.002   0.038   0.026   0.278     0.2     0.1     1.1    3132     0.0     271    0.00    0.27    0.00    1.59     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     47.     79.     39.     28.     28.     24.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.5     0.3     0.2     0.2     0.2     0.1     0.0     0.0
 2020 242    88    0.04    0.03    0.26     487    0.03    38.0   0.002   0.038   0.026   0.279     0.2     0.1     1.1    2992     0.0     262    0.00    0.26    0.00    0.82     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     49.     71.     34.     26.     29.     27.      9.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.2     0.2     0.0     0.0     0.1     0.2     0.1     0.0     0.0
 2020 243    89    0.04    0.03    0.26     490    0.03    38.3   0.002   0.038   0.026   0.280     0.2     0.1     0.9    2759     0.0     222    0.00    0.22    0.00    0.58     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     36.     59.     31.     23.     25.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.1     0.0     0.0     0.1     0.2     0.1     0.0     0.0
 2020 244    90    0.04    0.03    0.27     492    0.03    38.5   0.002   0.039   0.026   0.281     0.3     0.1     1.6    2852     0.0     245    0.00    0.25    0.00    1.36     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     43.     69.     36.     26.     25.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.4     0.2     0.1     0.1     0.2     0.1     0.0     0.0
 2020 245    91    0.04    0.03    0.27     495    0.05    38.7   0.004   0.039   0.046   0.287     0.2     1.1     1.2    2598    20.8     214    1.11    0.21   19.71    6.18     5.3     4.9     4.7     5.9     0.0     0.0     0.0     0.0     0.0     36.     60.     32.     23.     22.     21.      7.      7.      6.     0.3     0.3     0.3     0.4     0.0     0.0     0.0     0.0     0.0     5.1     4.7     4.4     5.5     0.0     0.0     0.0     0.0     0.0     0.9     1.5     1.4     2.0     0.1     0.1     0.0     0.0     0.0
 2020 246    92    0.04    0.03    0.27     498    0.06    38.9   0.004   0.039   0.057   0.293     0.4     2.3     2.1    2461    11.0     193    0.61    0.19   10.42    5.23     1.9     1.6     1.6     2.1     2.2     1.1     0.6     0.0     0.0     33.     52.     28.     20.     20.     19.      6.      7.      8.     0.1     0.1     0.1     0.1     0.2     0.1     0.0     0.0     0.0     1.8     1.5     1.5     2.0     2.1     1.0     0.6     0.0     0.0     1.0     0.8     0.6     0.9     1.0     0.6     0.3     0.0     0.0
 2020 247    93    0.04    0.03    0.27     500    0.08    39.1   0.005   0.039   0.072   0.298     0.3     2.3     1.5    2325    16.7     182    0.87    0.18   15.84    5.69     4.4     3.3     2.0     2.0     2.1     1.2     0.8     0.9     0.0     30.     50.     26.     19.     20.     18.      6.      7.      6.     0.2     0.2     0.1     0.1     0.2     0.1     0.0     0.1     0.0     4.2     3.2     1.9     1.9     2.0     1.1     0.7     0.9     0.0     0.7     1.2     0.7     0.8     1.0     0.6     0.3     0.3     0.0
 2020 248    94    0.04    0.04    0.27     502    0.09    39.3   0.006   0.039   0.081   0.303     0.4     3.8     2.4    2367     9.4     192    0.51    0.19    8.90    4.33     2.8     1.5     0.9     0.9     1.0     0.6     0.8     1.0     0.0     33.     52.     28.     20.     20.     19.      6.      7.      6.     0.2     0.1     0.1     0.1     0.1     0.0     0.0     0.1     0.0     2.6     1.5     0.9     0.9     0.9     0.5     0.7     0.9     0.0     1.2     0.8     0.4     0.5     0.5     0.4     0.3     0.3     0.0
 2020 249    95    0.04    0.04    0.28     505    0.09    39.5   0.006   0.039   0.087   0.306     0.5     4.5     2.8    2371     5.5     189    0.30    0.19    5.24    3.10     1.2     0.7     0.4     0.4     0.5     0.5     0.7     1.0     0.0     32.     51.     28.     20.     20.     19.      6.      7.      7.     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     1.2     0.7     0.4     0.4     0.4     0.5     0.7     0.9     0.0     0.7     0.6     0.3     0.3     0.3     0.3     0.3     0.3     0.0
 2020 250    96    0.04    0.04    0.28     507    0.10    39.7   0.006   0.040   0.091   0.309     0.5     4.7     3.0    2485     4.3     213    0.24    0.21    4.08    2.89     0.6     0.4     0.2     0.2     0.5     0.6     0.8     1.0     0.0     36.     58.     31.     23.     23.     20.      7.      7.      7.     0.1     0.1     0.0     0.0     0.0     0.1     0.1     0.1     0.0     0.6     0.4     0.2     0.2     0.5     0.5     0.7     0.9     0.0     0.5     0.5     0.3     0.2     0.3     0.4     0.3     0.3     0.0
